run_index,model,dataset,total_time_sec,n_calls
1,phi4-mini,Intelligent Electronic Device,11.99,8
1,qwen3:4b,Intelligent Electronic Device,289.21,8
1,gemma4:e4b,Intelligent Electronic Device,106.08,8
1,qwen3:8b,Intelligent Electronic Device,66.46,8
1,deepseek-r1:8b,Intelligent Electronic Device,112.33,8
1,gemma4:12b,Intelligent Electronic Device,103.39,8
1,qwen3:14b,Intelligent Electronic Device,131.6,8
1,phi4-mini,Smart Grid,33.32,7
1,qwen3:4b,Smart Grid,259.83,7
1,gemma4:e4b,Smart Grid,103.28,7
1,qwen3:8b,Smart Grid,65.08,7
1,deepseek-r1:8b,Smart Grid,116.18,7
1,gemma4:12b,Smart Grid,99.51,7
1,qwen3:14b,Smart Grid,124.86,7
1,phi4-mini,Water Bottle Factory,33.78,7
1,qwen3:4b,Water Bottle Factory,294.97,7
1,gemma4:e4b,Water Bottle Factory,103.32,7
1,qwen3:8b,Water Bottle Factory,63.72,7
1,deepseek-r1:8b,Water Bottle Factory,113.16,7
1,gemma4:12b,Water Bottle Factory,99.67,7
1,qwen3:14b,Water Bottle Factory,124.54,7
