run_index,model,success_rate_%,format_compliance_%,avg_latency_sec,p95_latency_sec,avg_risk_score_stddev,avg_completion_tokens,total_time_sec
1,phi4-mini,100.0,100.0,4.79,28.41,,82.7,105.3
1,qwen3:8b,100.0,100.0,8.67,53.19,,79.9,190.63
1,gemma4:12b,100.0,100.0,13.43,75.65,,100.9,295.5
1,gemma4:e4b,100.0,100.0,14.24,91.79,,109.2,313.22
1,deepseek-r1:8b,100.0,95.5,17.06,64.18,,531.8,375.29
1,qwen3:14b,100.0,100.0,18.09,94.89,,114.3,397.99
1,qwen3:4b,100.0,72.7,37.43,63.44,,3006.0,823.53
