run_index,model,success_rate_%,format_compliance_%,avg_latency_sec,p95_latency_sec,avg_risk_score_stddev,avg_completion_tokens,total_time_sec
1,phi4-mini,100.0,100.0,3.3,26.44,,33.9,72.68
1,qwen3:8b,100.0,100.0,8.04,52.42,,41.4,176.97
1,gemma4:12b,100.0,95.5,12.82,77.1,,64.5,282.09
1,gemma4:e4b,100.0,100.0,13.64,92.62,,52.8,300.0
1,qwen3:14b,100.0,100.0,15.09,92.16,,54.9,332.08
1,deepseek-r1:8b,100.0,40.9,15.51,59.24,,465.8,341.24
1,qwen3:4b,100.0,0.0,54.96,87.29,,4361.1,1209.16
