dataset,architecture,fold,n_train_normal,n_test_total,n_test_normal,n_test_attack,fold_time_s,threshold,precision_attack,recall_attack,f1_attack,f1_weighted,accuracy
Smart Grid,linear32_relu,1,37747,11770,9451,2319,58.14118933677673,0.005652149161323896,0.8096357226792009,0.8913324708926261,0.8485221674876847,0.938411007494862,0.9372982158028887
Smart Grid,linear9_relu,1,37747,11770,9451,2319,55.53241753578186,0.0034746808465570193,0.8116660312619138,0.9180681328158689,0.8615944961554026,0.9431985860713514,0.9418861512319456
Smart Grid,vae_best,1,37747,11770,9451,2319,11.84336519241333,0.054148601368069614,0.8108766233766234,0.8615782664941786,0.8354589169977001,0.9338901697115757,0.9331350892098556
Smart Grid,linear32_relu,2,37804,11770,9394,2376,59.71525979042053,0.0038827438373118628,0.8135788262370541,0.8926767676767676,0.8512944009632751,0.9381107445619135,0.9370433305012744
Smart Grid,linear9_relu,2,37804,11770,9394,2376,55.71646785736084,0.00463754693046211,0.8215944272445821,0.8935185185185185,0.8560483870967742,0.9402697036793528,0.9393372982158029
Smart Grid,vae_best,2,37804,11770,9394,2376,10.381016492843628,0.060430257767438884,0.8022158391464916,0.8228114478114478,0.8123831290255558,0.923640750257063,0.9232795242141036
Smart Grid,linear32_relu,3,37751,11769,9447,2322,56.82569122314453,0.00456006801687181,0.8106508875739645,0.8850129198966409,0.846201358863496,0.9375580698033938,0.936528167218965
Smart Grid,linear9_relu,3,37751,11769,9447,2322,55.824650049209595,0.005468931281939149,0.8146046159667045,0.9272179155900087,0.8672708962739174,0.9453316528376586,0.9440054380151245
Smart Grid,vae_best,3,37751,11769,9447,2322,10.45137643814087,0.07850418239831924,0.7852550364337763,0.788975021533161,0.787110633727175,0.9158706980748197,0.9157957345568868
Smart Grid,linear32_relu,4,37745,11769,9453,2316,229.49030947685242,0.004971877485513686,0.8043812451960031,0.903713298791019,0.8511590077267182,0.9391335342675833,0.9378027020137649
Smart Grid,linear9_relu,4,37745,11769,9453,2316,91.75306248664856,0.003487589629366992,0.8145979703356753,0.9011226252158895,0.8556785567855678,0.9412958639685547,0.9401818336307248
Smart Grid,vae_best,4,37745,11769,9453,2316,27.678844213485718,0.04344725087285039,0.8052201012855473,0.8924870466321243,0.8466106901494983,0.9375657678318681,0.9363582292463251
Smart Grid,linear32_relu,5,37745,11769,9453,2316,245.43763184547424,0.007244930136948824,0.8115141955835962,0.8886010362694301,0.8483099752679307,0.9385124689656339,0.937462826068485
Smart Grid,linear9_relu,5,37745,11769,9453,2316,158.50106692314148,0.005218677595257759,0.8086296444266879,0.8739205526770294,0.8400083004772775,0.9354327586689313,0.9344889115472852
Smart Grid,vae_best,5,37745,11769,9453,2316,13.090518712997437,0.0869081974029541,0.8011265164644714,0.7983592400690847,0.7997404844290658,0.9212672950727879,0.9213187186676863
Water Bottle Factory,linear32_relu,1,133518,37297,33378,3919,300.5604729652405,0.007908967556431886,0.6103479853479854,0.680275580505231,0.6434174007481598,0.9226492172127878,0.9207711075957852
