dataset,k_sec,attack_type,n_attack,auc
Smart Grid,2.0,restart communication,198,0.945
Smart Grid,2.0,data flood attack,84930,0.9994
Smart Grid,4.0,ALL attacks,88086,0.9981
Smart Grid,4.0,address scan,28,0.9215
Smart Grid,4.0,function code scan,810,0.9786
Smart Grid,4.0,device ID attack,128,0.9167
Smart Grid,4.0,naive sensor read,1606,0.9692
Smart Grid,4.0,sporadic sensor injection,370,0.9955
Smart Grid,4.0,force listen mode,16,0.9216
Smart Grid,4.0,restart communication,198,0.9358
Smart Grid,4.0,data flood attack,84930,0.9992
Smart Grid,8.0,ALL attacks,88086,0.9971
Smart Grid,8.0,address scan,28,0.8883
Smart Grid,8.0,function code scan,810,0.9579
Smart Grid,8.0,device ID attack,128,0.9544
Smart Grid,8.0,naive sensor read,1606,0.9581
Smart Grid,8.0,sporadic sensor injection,370,0.9945
Smart Grid,8.0,force listen mode,16,0.7889
Smart Grid,8.0,restart communication,198,0.9133
Smart Grid,8.0,data flood attack,84930,0.9986
Smart Grid,16.0,ALL attacks,88086,0.995
Smart Grid,16.0,address scan,28,0.8293
Smart Grid,16.0,function code scan,810,0.9203
Smart Grid,16.0,device ID attack,128,0.9194
Smart Grid,16.0,naive sensor read,1606,0.9455
Smart Grid,16.0,sporadic sensor injection,370,0.9911
Smart Grid,16.0,force listen mode,16,0.7127
Smart Grid,16.0,restart communication,198,0.8802
Smart Grid,16.0,data flood attack,84930,0.9972
Smart Grid,32.0,ALL attacks,88086,0.9908
Smart Grid,32.0,address scan,28,0.7387
Smart Grid,32.0,function code scan,810,0.8621
Smart Grid,32.0,device ID attack,128,0.8368
Smart Grid,32.0,naive sensor read,1606,0.9139
Smart Grid,32.0,sporadic sensor injection,370,0.9741
Smart Grid,32.0,force listen mode,16,0.6362
Smart Grid,32.0,restart communication,198,0.8065
Smart Grid,32.0,data flood attack,84930,0.9944
Smart Grid,60.0,ALL attacks,88086,0.9822
Smart Grid,60.0,address scan,28,0.5414
Smart Grid,60.0,function code scan,810,0.7713
Smart Grid,60.0,device ID attack,128,0.7515
Smart Grid,60.0,naive sensor read,1606,0.8409
Smart Grid,60.0,sporadic sensor injection,370,0.9425
Smart Grid,60.0,force listen mode,16,0.451
Smart Grid,60.0,restart communication,198,0.6787
Smart Grid,60.0,data flood attack,84930,0.9884
Water Bottle Factory,0.5,ALL attacks,96322,0.9975
Water Bottle Factory,0.5,address scan,190,0.9923
